Zone,Sale,Rent
Centro,9956,29.36
"Arco della Pace, Arena, Pagano",8922,23.61
"Genova, Ticinese",7352,22.58
"Quadronno, Palestro, Guastalla",8524,24.77
"Garibaldi, Moscova, Porta Nuova",9479,28.03
"Fiera, Sempione, City Life, Portello",6616,21.86
Navigli,6056,21.8
"Porta Romana, Cadore, Montenero",6516,21.16
"Porta Venezia, Indipendenza",7320,23.31
"Centrale, Repubblica",6385,22.74
"Cenisio, Sarpi, Isola",6174,22.51
"Viale Certosa, Cascina Merlata",3745,18.97
"Bande Nere, Inganni",4374,17.86
"Famagosta, Barona",3977,18.67
"Abbiategrasso, Chiesa Rossa",4096,19.22
"Porta Vittoria, Lodi",4789,19.51
"Cimiano, Crescenzago, Adriano",3454,17.54
"Bicocca, Niguarda",3544,16.94
"Solari, Washington",6540,22.9
"Affori, Bovisa",3344,18.18
"San Siro, Trenno",3605,16.68
"Bisceglie, Baggio, Olmi",2680,15.5
"Ripamonti, Vigentino",4162,18.33
Forlanini,3168,16.19
"Città Studi, Susa",5327,19.35
"Maggiolina, Istria",4896,18.64
"Precotto, Turro",3939,18.46
"Udine, Lambrate",4033,17.93
"Pasteur, Rovereto",4504,19.93
"Ponte Lambro, Santa Giulia",2923,15.54
"Corvetto, Rogoredo",3695,19.33
"Napoli, Soderini",4922,17.84
